,Name,Baseline_waterstress_total,Baseline_waterstress_Agricultural,Baseline_waterstress_Domestic,Baseline_waterstress_Industrial,Drought_severity_total,Drought_severity_Agricultural,Drought_severity_Domestic,Drought_severity_Industrial,Flood_occurence_total,Flood_occurence_Agricultural,Flood_occurence_Domestic,Flood_occurence_Industrial,Interannual_variability_total,Interannual_variability_Agricultural,Interannual_variability_Domestic,Interannual_variability_Industrial,Seasonal_variability_total,Seasonal_variability_Agricultural,Seasonal_variability_Domestic,Seasonal_variability_Industrial,water_acces_mean
109,Czech Republic,1.13,1.14,1.08,1.17,2.27,2.2,2.26,2.28,3.23,3.25,3.18,3.26,1.33,1.27,1.33,1.33,0.58,0.58,0.58,0.58,0.0
110,Switzerland,1.06,1.24,1.03,1.08,1.71,1.89,1.7,1.71,3.17,3.37,3.17,3.15,0.84,0.92,0.84,0.84,0.78,0.82,0.8,0.77,0.0
111,Guatemala,1.01,1.13,0.41,1.17,0.72,0.68,0.83,0.73,3.52,3.49,3.61,3.52,1.04,1.02,1.07,1.05,3.1,3.13,3.02,3.11,2.596712225
112,Nicaragua,1.01,1.14,0.7,1.06,0.83,0.79,0.93,0.79,3.64,3.63,3.65,3.7,1.23,1.26,1.15,1.17,2.89,2.99,2.68,2.73,3.566230282
113,Vietnam,1.01,0.98,1.12,1.41,0.67,0.66,0.77,0.7,3.8,3.79,3.88,3.82,0.68,0.68,0.75,0.7,3.19,3.18,3.25,3.21,2.050222813
114,Finland,0.98,1.0,1.27,0.9,2.46,2.33,2.32,2.51,0.21,0.12,0.18,0.22,1.9,2.0,1.93,1.89,1.19,1.13,1.2,1.19,0.0
115,Denmark,0.95,0.44,1.28,1.01,0.46,0.72,0.3,0.42,0.0,0.0,0.0,0.0,0.99,0.94,1.03,0.98,1.31,1.29,1.32,1.29,0.0
116,Brazil,0.91,0.85,1.08,0.9,1.09,1.08,1.09,1.1,3.08,3.11,3.1,3.0,1.74,1.72,1.76,1.79,2.5,2.35,2.72,2.68,0.6928267690000001
117,Sudan,0.91,0.93,0.9,0.72,2.94,2.88,3.2,3.62,3.3,3.33,2.97,3.12,1.41,1.38,1.97,1.46,3.55,3.6,3.06,3.08,5.0
118,Uruguay,0.86,0.78,1.12,1.05,1.06,1.1,0.95,0.97,3.04,3.16,2.69,2.67,1.72,1.68,1.85,1.88,1.12,1.14,1.08,1.02,0.0
119,Romania,0.84,0.71,1.0,0.81,2.02,1.88,2.1,2.04,3.68,3.64,3.69,3.69,1.28,1.19,1.35,1.27,0.77,0.72,0.8,0.77,
120,Mozambique,0.82,0.64,0.79,2.14,1.26,1.31,1.19,1.17,2.96,3.09,2.75,2.75,3.52,3.68,3.09,3.78,3.34,3.19,3.66,3.34,5.0
121,Kenya,0.68,0.77,0.44,0.71,1.62,1.65,1.53,1.64,3.81,3.8,3.82,3.83,3.21,3.32,2.94,3.07,1.93,1.96,1.85,2.05,5.0
122,Bolivia,0.68,0.74,0.54,0.75,1.97,2.39,1.58,1.66,3.15,3.1,3.19,3.19,2.48,2.49,2.45,2.48,3.09,3.07,3.1,3.09,3.3064449380000003
123,Bangladesh,0.65,0.64,0.69,0.82,0.78,0.78,0.76,0.75,4.94,4.94,4.91,4.91,0.7,0.7,0.71,0.68,3.6,3.6,3.64,3.59,3.895056802
124,Zimbabwe,0.64,0.61,0.56,0.88,2.05,1.99,2.19,2.15,2.77,2.81,2.69,2.73,3.06,3.03,3.12,3.12,3.65,3.65,3.64,3.68,3.992982371
125,Ethiopia,0.61,0.64,0.43,0.61,1.44,1.44,1.47,1.6,3.24,3.24,3.19,3.39,1.78,1.76,1.9,1.94,3.33,3.32,3.38,3.43,5.0
126,Mauritania,0.6,0.48,1.02,3.41,3.79,3.76,4.03,4.19,2.47,2.52,2.27,1.34,1.77,1.71,2.14,2.49,3.18,3.35,2.07,0.72,5.0
127,Papua New Guinea,0.6,,0.61,0.58,0.97,,1.02,0.91,1.61,,1.74,1.45,0.86,,0.79,0.94,1.03,,1.01,1.06,5.0
128,Belarus,0.59,0.67,0.57,0.58,1.98,1.99,1.99,1.97,2.61,2.67,2.63,2.58,1.05,1.03,1.04,1.06,0.93,0.93,0.93,0.94,0.0
129,Republic of Serbia,0.58,0.25,0.75,0.56,1.8,1.88,1.8,1.8,3.54,3.56,3.54,3.54,1.03,0.96,1.04,1.03,0.96,0.83,0.98,0.96,0.20488295399999998
130,Equatorial Guinea,0.54,,0.56,0.38,0.58,,0.63,0.33,0.04,,0.05,0.0,0.78,,0.78,0.78,2.45,,2.45,2.45,
131,Chad,0.52,1.03,0.12,0.22,2.54,2.6,2.16,2.72,2.95,2.9,3.04,2.95,1.94,2.11,1.8,1.84,3.76,3.65,3.88,3.79,5.0
132,Sierra Leone,0.51,0.5,0.34,0.82,0.77,0.85,0.72,0.54,1.64,1.57,1.79,1.66,0.62,0.63,0.62,0.6,3.65,3.67,3.62,3.61,5.0
133,Hungary,0.49,0.61,0.53,0.46,2.06,2.09,2.05,2.05,3.48,3.35,3.45,3.51,1.08,1.17,1.09,1.05,0.65,0.67,0.65,0.64,0.0
134,Liechtenstein,0.46,,0.46,0.46,1.59,,1.59,1.59,3.26,,3.26,3.26,0.77,,0.77,0.77,0.92,,0.92,0.92,
135,Somalia,0.46,0.44,1.5,4.2,2.56,2.57,2.0,1.63,3.79,3.79,3.42,3.46,2.86,2.85,3.74,4.26,1.73,1.73,2.29,1.7,5.0
136,Bhutan,0.45,0.47,0.41,0.54,0.91,0.91,0.92,0.9,4.66,4.8,4.35,4.89,0.63,0.61,0.66,0.6,3.52,3.5,3.56,3.47,1.6254572790000001
137,Cambodia,0.44,0.45,0.38,0.19,0.66,0.66,0.69,0.62,3.87,3.88,3.84,3.8,0.58,0.58,0.59,0.61,3.15,3.15,3.15,3.17,4.854591978999999
138,Republic of the Congo,0.43,0.04,0.13,1.13,1.33,1.46,1.41,1.15,1.68,1.7,1.83,1.35,0.85,0.92,0.83,0.88,1.77,2.18,1.7,1.9,4.529306452
139,Panama,0.42,0.18,0.75,0.65,0.83,0.93,0.7,0.67,2.76,2.72,2.82,2.81,0.91,0.87,0.96,0.96,2.38,2.4,2.35,2.36,
140,Gambia,0.42,0.01,0.4,0.68,2.11,2.09,2.12,2.1,1.49,2.25,1.44,1.13,1.98,1.63,2.01,2.14,4.59,4.47,4.6,4.65,3.1292830169999997
