,Country,Temperature (°C)
0,AFG,12.369804301419899
1,AGO,20.311981662233595
2,ALB,14.06212939936669
3,AND,12.352881266442502
4,ARE,24.8969015242956
5,ARG,13.542315707279743
6,ARM,8.342758295862149
7,ATG,21.865391020478732
8,AUS,19.624427388367696
9,AUT,8.567643702184444
10,AZE,11.066354911909157
11,BDI,18.72298948088969
12,BEL,9.771954111981614
13,BEN,23.655186242177365
14,BFA,24.536759402356452
15,BGD,22.38004973377073
16,BGR,12.064003598298484
17,BHR,23.526205863839944
18,BIH,12.522440672337016
19,BLR,7.641993457195343
20,BLZ,22.224268562255226
21,BOL,18.84063667664312
22,BRA,22.132956004148518
23,BRB,22.21780914998414
24,BRN,22.286691609946647
25,BTN,12.356633606047586
26,BWA,19.391315800245135
27,CAF,21.820224219130495
28,CAN,-2.567660878964153
29,CHE,8.152231858131795
30,CHL,9.229707447830425
31,CHN,6.029550915277577
32,CIV,22.65715922415244
33,CMR,20.93869967688392
34,COG,21.405622048429702
35,COL,21.405949596116802
36,COM,22.693714946578222
37,CPV,20.28914033225811
38,CRI,22.95355363329344
39,CUB,22.589614225294877
40,CYP,17.044602013707284
41,CZE,8.504914599735603
42,DEU,8.676872958414277
43,DJI,22.38468012832545
44,DMA,22.04699294014852
45,DNK,8.551632627649214
46,DOM,22.04679201630858
47,DZA,20.084572886281183
48,Democratic People's Republic of,8.298187837486086
49,ECU,19.671795097126175
50,EGY,20.39912842021341
51,ERI,23.127267858076465
52,ESP,13.527081044494162
53,EST,6.136346016965249
54,ETH,20.02438458525595
55,FIN,2.1643730632951694
56,FJI,22.15427487358039
57,FRA,11.006034684501197
58,FRO,6.924678142832012
59,FSM,23.90617222113482
60,GAB,21.719368651792358
61,GBR,8.996717563007353
62,GEO,8.298867482002162
63,GHA,23.347709757025807
64,GIN,22.35413684556453
65,GNB,23.97321122647152
66,GNQ,21.979706639692864
67,GRC,14.854575145550108
68,GRD,22.300455421540015
69,GRL,-14.59071191374189
70,GTM,21.847960846164383
71,GUY,22.847061987316504
72,HND,22.044610862645996
73,HRV,11.810699707231606
74,HTI,22.182397510436914
75,HUN,10.52153195503612
76,IDN,22.6356228083677
77,IND,21.980920146737564
78,IRL,9.605435282293293
79,IRN,16.435705839221775
80,IRQ,19.299105930917232
81,ISL,2.26362132322783
82,ISR,17.946440112176784
83,ITA,13.300249387347371
84,JAM,22.884010798149966
85,JOR,17.739621716391277
86,JPN,11.946281778604183
87,KAZ,8.868510137782451
88,KEN,20.798155987568855
89,KGZ,3.8210464210348953
90,KHM,22.475189622638787
91,KIR,22.703303667776495
92,KNA,21.914007112527763
93,KWT,22.32901739078154
94,LAO,19.68338066882336
95,LBN,17.435953261298632
96,LBR,22.366709057907713
97,LBY,19.08798677031053
98,LCA,22.179553398461426
99,LIE,7.094600072740591
100,LKA,23.319044936653206
101,LSO,12.898191363273252
102,LTU,7.49819061785984
103,LUX,9.343643335096177
104,LVA,6.910420531388609
105,MAR,17.00562687463706
106,MCO,12.305986312131505
107,MDA,11.022855571478441
108,MDG,20.375927378233598
109,MDV,23.92884451633886
110,MEX,17.788796086494592
111,MHL,23.765988630558038
112,MKD,12.204641685837059
113,MLI,24.520171114993513
114,MLT,16.8269494437938
115,MMR,20.179353092191345
116,MNE,13.088967967398414
117,MNG,2.070101394055371
118,MNP,23.096408079888963
119,MOZ,20.619028003971156
120,MRT,24.254769428361932
121,MUS,20.834270602775053
122,MWI,19.389237295414564
123,MYS,22.00188683134679
124,NAM,19.39076313882048
125,NCL,20.479016132892575
126,NER,23.329076708503244
127,NGA,22.95708054521269
128,NIC,22.758949723914927
129,NLD,9.749082662836482
130,NOR,2.4003458267923143
131,NPL,16.58906309859192
132,NZL,10.968533331995676
133,OMN,23.850661745900506
134,PAK,18.223268970488824
135,PAN,22.727987243899065
136,PER,17.91655296394953
137,PHL,23.06098473206633
138,PLW,23.932141074093728
139,PNG,21.21309769323576
140,POL,8.803659035532805
141,PRI,22.087372676921415
142,PRT,14.139455789933958
143,PRY,21.734427430452055
144,QAT,23.929865708954576
145,RUS,-2.4846787493332374
146,RWA,17.94659042394809
147,Republic of,12.28693992172689
148,SAU,21.905768699867338
149,SDN,23.433727890876717
150,SEN,24.839446703411678
151,SGP,23.151867797349674
152,SLB,23.776725387518383
153,SLE,22.149070435756308
154,SLV,23.480062314184572
155,SOM,22.760647345421773
156,SRB,10.942226515091852
157,STP,23.43733450810959
158,SUR,23.05678977043836
159,SVK,9.595879547562797
160,SVN,10.88381289823158
161,SWE,3.5423002291580388
162,SWZ,15.8037843235429
163,SYC,22.899979635851473
164,SYR,16.55187135444499
165,TCD,23.436920364250472
166,TGO,23.524371342380967
167,THA,22.15739751278154
168,TJK,3.194453814426677
169,TKM,14.995656717081472
170,TLS,23.551588129531364
171,TON,20.98869447864023
172,TTO,22.532243460151406
173,TUN,17.761163937209805
174,TUR,12.37067513550613
175,TUV,24.013184346970444
176,The,23.72062855224177
177,UGA,19.584744029652487
178,UKR,10.04147277472669
179,URY,16.599305592876714
180,USA,7.9454310333470515
181,UZB,13.422488672072818
182,United Republic of,19.079351476958905
183,VCT,22.230054072994953
184,VEN,22.47140864197837
185,VNM,20.2262765386124
186,VUT,22.072600223143475
187,WSM,23.18878848548666
188,XRK,11.53304978145566
189,YEM,22.24707688795674
190,ZAF,15.588704667511175
191,ZMB,19.578872930242245
192,ZWE,19.294114247244412
