Country,Average Temperature (°C),Total Rainfall (mm),Total internal renewable water resources (IRWR),Total external renewable water resources (ERWR),Total renewable water resources,Dependency ratio,Total exploitable water resources
TCD,27.56490579557429,345.03538038461545,15.0,30.7,45.7,67.1772428884,
TGO,27.37413317175975,1164.1087780769226,11.5,3.2,14.7,21.768707483,
THA,26.712556902002103,1562.5616130769229,224.51,214.1,438.61,48.8132965505,125.98
TJK,4.062795558482613,525.2025576923077,63.46,-41.55,21.91,17.3375016282,
TKL,,,,0.0,0.0,0.0,
TKM,16.03332667544784,152.00740307692305,1.405,23.36,24.765,96.9956163798,
TLS,25.444573129610117,1568.0473276923076,8.215,0.0,8.215,0.0,0.266
TON,24.9510798735511,1658.5759423076922,,0.0,0.0,0.0,
TTO,26.54980268703899,1599.070113076923,3.84,0.0,3.84,0.0,
TUN,20.434193750263432,265.86837769230766,4.195,0.42,4.615,9.1007583965,3.625
TUR,11.724178195995782,571.1036588461538,227.0,-15.4,211.6,1.5184381779,112.0
TUV,28.50432877766069,3094.2367346153846,,0.0,0.0,0.0,
TZA,22.89899552160168,977.1497876923077,84.0,12.27,96.27,12.7454035525,
UGA,23.497792802950464,1266.418976923077,39.0,21.1,60.1,35.1081530782,
UKR,9.136621935721813,565.7617003846154,55.1,120.18,175.28,68.5645823825,
URY,17.912954182297156,1328.1913423076924,92.2,80.0,172.2,46.4576074332,
USA,7.675061704952582,670.6531500000001,2818.0,251.0,3069.0,8.1785597915,1829.0
UZB,13.230992370916757,210.53649115384616,16.34,32.53,48.87,80.0707403342,
VAT,,,,0.0,0.0,,
VCT,27.402772423603796,1637.1985923076925,0.1,0.0,0.1,0.0,
VEN,25.862610200210742,1960.8690192307686,805.0,520.0,1325.0,39.2452830189,
VNM,24.613523635405688,1844.1219923076924,359.42,524.7,884.12,59.347147446,371.9
VUT,24.11448174920969,2533.9952692307697,10.0,0.0,10.0,0.0,
WSM,27.585171654373024,3096.5594076923076,,0.0,0.0,0.0,
YEM,23.95338875658588,172.00619153846154,2.1,0.0,2.1,0.0,
ZAF,18.185878612223394,459.6452826923077,44.8,6.55,51.35,12.8404669261,11.972
ZMB,22.440821970495254,943.1221876923078,80.2,24.6,104.8,23.4732824427,
ZWE,22.023254067439403,623.4941084615384,12.26,7.74,20.0,38.7,1.5
